"id_","t_date","t_type","t_amt","has_credit_card","account_type"
"89","25-01-2020","deposit","210","Yes","Savings"
"129","12-01-2020","deposit","568","Yes","Savings"
"198","17-01-2020","deposit","571","No","Savings"
"26","17-01-2020","deposit","878","No","Current"
"104","25-01-2020","deposit","989","No","Savings"
"466","17-01-2020","deposit","80","No","Savings"
"454","08-01-2020","deposit","603","No","Current"
"117","15-01-2020","deposit","5","No","Savings"
"46","23-01-2020","deposit","356","Yes","Current"
"96","03-01-2020","deposit","753","No","Savings"
"199","20-01-2020","deposit","530","Yes","Salary"
"55","25-01-2020","deposit","380","No","Salary"
"443","28-01-2020","deposit","760","No","NRI"
"317","11-01-2020","deposit","869","No","Savings"
"52","12-01-2020","deposit","908","No","NRI"
"249","14-01-2020","deposit","336","Yes","Salary"
"122","29-01-2020","deposit","397","Yes","Current"
"59","20-01-2020","deposit","924","Yes","Current"
"36","30-01-2020","deposit","149","No","Current"
"74","13-01-2020","deposit","229","No","Savings"
"238","18-01-2020","deposit","896","Yes","Current"
"334","15-01-2020","deposit","933","Yes","Savings"
"143","29-01-2020","deposit","807","No","Savings"
"406","26-01-2020","deposit","795","No","Savings"
"465","28-01-2020","deposit","955","No","Savings"
"230","21-01-2020","deposit","675","No","Current"
"487","15-01-2020","deposit","39","Yes","Savings"
"346","21-01-2020","deposit","916","Yes","Savings"
"356","11-01-2020","deposit","568","Yes","Current"
"142","16-01-2020","deposit","517","No","Savings"
"81","25-01-2020","deposit","403","No","Savings"
"128","26-01-2020","deposit","410","Yes","Current"
"205","02-01-2020","deposit","608","No","Savings"
"380","03-01-2020","deposit","487","Yes","Salary"
"387","22-01-2020","deposit","180","Yes","Salary"
"95","03-01-2020","deposit","19","Yes","NRI"
"388","09-01-2020","deposit","833","No","Savings"
"91","11-01-2020","deposit","856","No","NRI"
"144","14-01-2020","deposit","559","No","Salary"
"68","20-01-2020","deposit","574","No","Current"
"475","03-01-2020","deposit","552","No","Current"
"247","01-01-2020","deposit","930","No","Current"
"120","23-01-2020","deposit","824","Yes","Savings"
"500","16-01-2020","deposit","227","No","Current"
"384","12-01-2020","deposit","352","Yes","Savings"
"311","17-01-2020","deposit","918","No","Savings"
"287","22-01-2020","deposit","658","No","Savings"
"112","08-01-2020","deposit","945","No","Savings"
"284","30-01-2020","deposit","257","No","Current"
"67","22-01-2020","deposit","79","Yes","Savings"
"70","08-01-2020","deposit","786","Yes","Savings"
"236","27-01-2020","deposit","356","Yes","Current"
"234","03-01-2020","deposit","236","No","Savings"
"420","24-01-2020","deposit","151","No","Current"
"430","20-01-2020","deposit","829","Yes","Savings"
"330","26-01-2020","deposit","540","Yes","Salary"
"162","10-01-2020","deposit","123","No","Salary"
"394","04-01-2020","deposit","854","No","NRI"
"217","08-01-2020","deposit","783","No","Savings"
"5","15-01-2020","deposit","974","No","NRI"
"382","03-01-2020","deposit","140","Yes","Salary"
"137","06-01-2020","deposit","881","Yes","Current"
"327","14-01-2020","deposit","299","Yes","Current"
"412","01-01-2020","deposit","381","No","Current"
"257","20-01-2020","deposit","493","No","Savings"
"416","16-01-2020","deposit","756","Yes","Current"
"320","10-01-2020","deposit","725","No","Savings"
"109","01-01-2020","deposit","429","Yes","Savings"
"348","22-01-2020","deposit","26","Yes","Savings"
"375","19-01-2020","deposit","647","Yes","Savings"
"344","07-01-2020","deposit","816","No","Current"
"261","25-01-2020","deposit","746","No","Savings"
"166","22-01-2020","deposit","957","No","Savings"
"367","29-01-2020","deposit","239","No","Current"
"352","21-01-2020","deposit","416","No","Savings"
"108","30-01-2020","deposit","530","No","Current"
"481","02-01-2020","deposit","42","Yes","Savings"
"331","17-01-2020","deposit","951","No","Salary"
"133","10-01-2020","deposit","279","Yes","Salary"
"293","15-01-2020","deposit","541","No","NRI"
"172","12-01-2020","deposit","548","No","Savings"
"215","27-01-2020","deposit","822","No","NRI"
"218","29-01-2020","deposit","208","No","Salary"
"20","18-01-2020","deposit","868","Yes","Current"
"365","25-01-2020","deposit","595","Yes","Current"
"98","15-01-2020","deposit","622","Yes","Current"
"354","23-01-2020","deposit","822","No","Savings"
"10","13-01-2020","deposit","556","No","Current"
"61","21-01-2020","deposit","319","Yes","Savings"
"160","17-01-2020","deposit","843","Yes","Savings"
"161","08-01-2020","deposit","526","No","Savings"
"147","15-01-2020","deposit","767","No","Savings"
"301","20-01-2020","deposit","32","No","Current"
"14","25-01-2020","deposit","205","No","Savings"
"288","13-01-2020","deposit","586","Yes","Savings"
"219","06-01-2020","deposit","419","Yes","Current"
"308","14-01-2020","deposit","782","Yes","Savings"
"418","07-01-2020","deposit","688","No","Current"
"167","30-01-2020","deposit","51","No","Savings"
"350","13-01-2020","deposit","167","Yes","Salary"
"225","10-01-2020","deposit","280","No","Salary"
"187","26-01-2020","deposit","599","Yes","NRI"
"396","01-01-2020","deposit","334","Yes","Savings"
"304","16-01-2020","deposit","848","Yes","NRI"
"343","01-01-2020","deposit","859","No","Salary"
"62","16-01-2020","deposit","218","No","Current"
"364","10-01-2020","deposit","563","No","Current"
"207","26-01-2020","deposit","322","No","Current"
"223","11-01-2020","deposit","431","No","Savings"
"73","06-01-2020","deposit","442","No","Current"
"299","13-01-2020","deposit","881","Yes","Savings"
"16","13-01-2020","deposit","421","No","Savings"
"212","02-01-2020","deposit","336","Yes","Savings"
"381","28-01-2020","deposit","66","No","Savings"
"390","15-01-2020","deposit","102","No","Current"
"165","23-01-2020","deposit","42","No","Savings"
"442","26-01-2020","deposit","553","No","Savings"
"332","27-01-2020","deposit","594","Yes","Current"
"264","16-01-2020","deposit","41","Yes","Savings"
"64","08-01-2020","deposit","442","Yes","Savings"
"428","15-01-2020","deposit","280","No","Current"
"227","07-01-2020","deposit","468","No","Savings"
"116","28-01-2020","deposit","167","Yes","Salary"
"134","08-01-2020","deposit","358","Yes","Salary"
"192","20-01-2020","deposit","906","No","NRI"
"452","01-01-2020","deposit","441","No","Savings"
"436","05-01-2020","deposit","401","No","NRI"
"176","26-01-2020","deposit","655","No","Salary"
"408","21-01-2020","deposit","514","Yes","Current"
"490","23-01-2020","deposit","271","Yes","Current"
"111","28-01-2020","deposit","101","Yes","Current"
"372","02-01-2020","deposit","920","No","Savings"
"307","14-01-2020","deposit","363","No","Current"
"363","06-01-2020","deposit","622","Yes","Savings"
"22","19-01-2020","deposit","794","No","Savings"
"171","17-01-2020","deposit","471","Yes","Savings"
"19","17-01-2020","deposit","47","Yes","Savings"
"289","28-01-2020","deposit","838","Yes","Current"
"419","11-01-2020","deposit","711","No","Savings"
"154","15-01-2020","deposit","120","No","Savings"
"156","24-01-2020","deposit","82","No","Current"
"75","22-01-2020","deposit","234","No","Savings"
"191","16-01-2020","deposit","769","No","Current"
"71","14-01-2020","deposit","128","No","Savings"
"263","16-01-2020","deposit","312","Yes","Salary"
"462","26-01-2020","deposit","614","No","Salary"
"405","04-01-2020","deposit","413","Yes","NRI"
"37","29-01-2020","deposit","946","No","Savings"
"342","25-01-2020","deposit","347","No","NRI"
"371","21-01-2020","deposit","528","No","Salary"
"173","14-01-2020","deposit","720","No","Current"
"9","21-01-2020","deposit","669","Yes","Current"
"302","27-01-2020","deposit","143","Yes","Current"
"403","13-01-2020","deposit","232","Yes","Savings"
"110","01-01-2020","deposit","888","No","Current"
"492","05-01-2020","deposit","812","No","Savings"
"477","04-01-2020","deposit","101","Yes","Savings"
"337","12-01-2020","deposit","581","Yes","Savings"
"345","01-01-2020","deposit","555","No","Savings"
"131","10-01-2020","deposit","932","No","Current"
"58","11-01-2020","deposit","726","No","Savings"
"99","08-01-2020","deposit","160","No","Savings"
"488","08-01-2020","deposit","304","Yes","Current"
"286","02-01-2020","deposit","177","Yes","Savings"
"240","10-01-2020","deposit","872","Yes","Current"
"326","12-01-2020","deposit","478","No","Savings"
"359","09-01-2020","deposit","10","No","Salary"
"72","20-01-2020","deposit","796","Yes","Salary"
"3","27-01-2020","deposit","144","No","NRI"
"178","23-01-2020","deposit","76","Yes","Savings"
"146","05-01-2020","deposit","657","Yes","NRI"
"385","15-01-2020","deposit","585","Yes","Salary"
"193","12-01-2020","deposit","689","No","Current"
"279","13-01-2020","deposit","98","No","Current"
"272","11-01-2020","deposit","706","No","Current"
"87","13-01-2020","deposit","777","No","Savings"
"244","27-01-2020","deposit","728","No","Current"
"23","21-01-2020","deposit","334","No","Savings"
"278","26-01-2020","deposit","682","Yes","Savings"
"484","28-01-2020","deposit","871","No","Savings"
"368","17-01-2020","deposit","100","Yes","Savings"
"158","18-01-2020","deposit","642","No","Current"
"148","12-01-2020","deposit","88","No","Savings"
"118","03-01-2020","deposit","683","No","Savings"
"221","06-01-2020","deposit","147","No","Current"
"126","21-01-2020","deposit","120","Yes","Savings"
"245","30-01-2020","deposit","76","Yes","Current"
"180","09-01-2020","deposit","670","Yes","Savings"
"258","25-01-2020","deposit","590","No","Salary"
"157","06-01-2020","deposit","721","No","Salary"
"417","04-01-2020","deposit","213","Yes","NRI"
"184","27-01-2020","deposit","472","Yes","Savings"
"282","24-01-2020","deposit","74","No","NRI"
"415","07-01-2020","deposit","152","No","Salary"
"195","19-01-2020","deposit","489","No","Current"
"298","16-01-2020","deposit","36","No","Current"
"411","27-01-2020","deposit","551","Yes","Current"
"66","16-01-2020","deposit","917","Yes","Savings"
"25","28-01-2020","deposit","174","Yes","Current"
"323","21-01-2020","deposit","603","No","Savings"
"270","16-01-2020","deposit","294","No","Savings"
"319","06-01-2020","deposit","83","Yes","Savings"
"226","11-01-2020","deposit","854","No","Savings"
"468","25-01-2020","deposit","939","Yes","Current"
"439","26-01-2020","deposit","430","Yes","Savings"
"202","06-01-2020","deposit","446","Yes","Savings"
"250","25-01-2020","deposit","625","No","Current"
"447","03-01-2020","deposit","188","No","Savings"
"271","08-01-2020","deposit","318","No","Savings"
"353","01-01-2020","deposit","57","No","Current"
"409","22-01-2020","deposit","155","No","Savings"
"432","26-01-2020","deposit","637","No","Salary"
"40","21-01-2020","deposit","857","Yes","Salary"
"268","11-01-2020","deposit","744","No","NRI"
"85","11-01-2020","deposit","467","Yes","Savings"
"401","03-01-2020","deposit","956","No","NRI"
"470","08-01-2020","deposit","942","No","Salary"
"242","20-01-2020","deposit","256","No","Current"
"295","26-01-2020","deposit","636","No","Current"
"303","18-01-2020","deposit","433","Yes","Current"
"478","08-01-2020","deposit","351","Yes","Savings"
"2","03-01-2020","deposit","549","Yes","Current"
"280","03-01-2020","deposit","273","No","Savings"
"277","27-01-2020","deposit","615","No","Savings"
"434","14-01-2020","deposit","686","Yes","Savings"
"389","04-01-2020","deposit","632","Yes","Savings"
"256","26-01-2020","deposit","811","No","Current"
"216","04-01-2020","deposit","140","No","Savings"
"159","04-01-2020","deposit","669","No","Savings"
"310","20-01-2020","deposit","331","No","Current"
"495","17-01-2020","deposit","433","Yes","Savings"
"483","18-01-2020","deposit","481","Yes","Current"
"318","06-01-2020","deposit","720","Yes","Savings"
"314","26-01-2020","deposit","448","No","Salary"
"285","22-01-2020","deposit","360","No","Salary"
"453","25-01-2020","deposit","638","Yes","NRI"
"424","12-01-2020","deposit","995","No","Savings"
"210","19-01-2020","deposit","708","Yes","NRI"
"105","07-01-2020","deposit","313","Yes","Salary"
"177","20-01-2020","deposit","351","Yes","Current"
"313","29-01-2020","deposit","710","No","Current"
"65","26-01-2020","deposit","690","No","Current"
"124","01-01-2020","deposit","159","No","Savings"
"426","15-01-2020","deposit","282","No","Current"
"413","26-01-2020","deposit","927","No","Savings"
"386","26-01-2020","deposit","854","No","Savings"
"464","17-01-2020","deposit","953","Yes","Savings"
"33","24-01-2020","deposit","473","No","Savings"
"113","21-01-2020","deposit","14","Yes","Current"
"94","01-01-2020","deposit","902","No","Savings"
"197","22-01-2020","deposit","203","No","Savings"
"164","10-01-2020","deposit","548","No","Current"
"300","21-01-2020","deposit","672","No","Savings"
"467","19-01-2020","deposit","738","Yes","Current"
"7","20-01-2020","deposit","964","Yes","Savings"
"231","20-01-2020","deposit","122","Yes","Salary"
"497","30-01-2020","deposit","754","No","Salary"
"211","19-01-2020","deposit","485","No","NRI"
"47","22-01-2020","deposit","203","Yes","Savings"
"321","24-01-2020","deposit","243","Yes","NRI"
"83","09-01-2020","deposit","942","No","Salary"
"4","07-01-2020","deposit","458","No","Current"
"469","17-01-2020","deposit","297","No","Current"
"329","07-01-2020","deposit","723","No","Current"
"76","04-01-2020","deposit","641","Yes","Savings"
"325","27-01-2020","deposit","60","Yes","Current"
"35","17-01-2020","deposit","936","Yes","Savings"
"80","25-01-2020","deposit","795","No","Savings"
"290","15-01-2020","deposit","788","No","Savings"
"181","13-01-2020","deposit","865","Yes","Savings"
"333","08-01-2020","deposit","537","No","Current"
"400","24-01-2020","deposit","691","Yes","Savings"
"149","13-01-2020","deposit","831","Yes","Savings"
"11","19-01-2020","deposit","60","Yes","Current"
"243","01-01-2020","deposit","247","No","Savings"
"347","04-01-2020","deposit","626","No","Current"
"86","03-01-2020","deposit","12","No","Savings"
"237","16-01-2020","deposit","106","No","Salary"
"229","23-01-2020","deposit","180","No","Salary"
"209","23-01-2020","deposit","160","No","NRI"
"404","02-01-2020","deposit","724","Yes","Savings"
"220","21-01-2020","deposit","307","No","NRI"
"114","19-01-2020","deposit","743","Yes","Salary"
"476","27-01-2020","deposit","392","No","Current"
"273","19-01-2020","deposit","876","No","Current"
"259","04-01-2020","deposit","744","No","Current"
"140","26-01-2020","deposit","138","No","Savings"
"208","19-01-2020","deposit","537","Yes","Current"
"355","21-01-2020","deposit","367","Yes","Savings"
"78","28-01-2020","deposit","986","Yes","Savings"
"232","02-01-2020","deposit","843","No","Savings"
"260","26-01-2020","deposit","899","No","Savings"
"246","29-01-2020","deposit","506","Yes","Current"
"24","26-01-2020","deposit","615","Yes","Savings"
"15","25-01-2020","deposit","379","No","Savings"
"486","11-01-2020","deposit","412","No","Current"
"340","06-01-2020","deposit","56","No","Savings"
"44","19-01-2020","deposit","71","No","Savings"
"471","13-01-2020","deposit","781","Yes","Current"
"459","13-01-2020","deposit","857","Yes","Savings"
"274","02-01-2020","deposit","801","Yes","Salary"
"103","07-01-2020","deposit","646","No","Salary"
"101","12-01-2020","deposit","136","No","NRI"
"335","14-01-2020","deposit","663","Yes","Savings"
"461","01-01-2020","deposit","788","No","NRI"
"34","30-01-2020","deposit","976","Yes","Salary"
"281","06-01-2020","deposit","616","Yes","Current"
"391","15-01-2020","deposit","219","Yes","Current"
"45","14-01-2020","deposit","650","No","Current"
"49","04-01-2020","deposit","432","No","Savings"
"473","17-01-2020","deposit","657","No","Current"
"448","30-01-2020","deposit","759","No","Savings"
"106","24-01-2020","deposit","456","No","Savings"
"57","06-01-2020","deposit","907","No","Savings"
"151","10-01-2020","deposit","58","Yes","Savings"
"239","18-01-2020","deposit","771","No","Current"
"253","29-01-2020","deposit","976","Yes","Savings"
"163","14-01-2020","deposit","523","No","Savings"
"399","13-01-2020","deposit","780","No","Current"
"358","15-01-2020","deposit","129","No","Savings"
"31","06-01-2020","deposit","83","No","Current"
"423","18-01-2020","deposit","164","Yes","Savings"
"433","15-01-2020","deposit","142","Yes","Salary"
"170","14-01-2020","deposit","788","Yes","Salary"
"414","08-01-2020","deposit","445","No","NRI"
"322","05-01-2020","deposit","965","No","Savings"
"186","17-01-2020","deposit","968","Yes","NRI"
"421","09-01-2020","deposit","205","Yes","Salary"
"90","19-01-2020","deposit","890","No","Current"
"379","12-01-2020","deposit","451","No","Current"
"362","28-01-2020","deposit","416","No","Current"
"395","14-01-2020","deposit","40","No","Savings"
"482","01-01-2020","deposit","674","Yes","Current"
"463","21-01-2020","deposit","881","Yes","Savings"
"13","02-01-2020","deposit","566","Yes","Savings"
"42","11-01-2020","deposit","154","No","Savings"
"204","28-01-2020","deposit","749","No","Savings"
"190","26-01-2020","deposit","14","Yes","Current"
"228","10-01-2020","deposit","294","No","Savings"
"241","01-01-2020","deposit","161","Yes","Savings"
"28","20-01-2020","deposit","451","Yes","Current"
"336","16-01-2020","deposit","543","Yes","Savings"
"12","13-01-2020","deposit","202","No","Current"
"125","04-01-2020","deposit","637","No","Savings"
"360","16-01-2020","deposit","385","No","Salary"
"370","13-01-2020","deposit","363","No","Salary"
"88","12-01-2020","deposit","672","No","NRI"
"446","15-01-2020","deposit","412","No","Savings"
"18","17-01-2020","deposit","757","Yes","NRI"
"139","10-01-2020","deposit","653","No","Salary"
"127","17-01-2020","deposit","217","Yes","Current"
"450","11-01-2020","deposit","890","No","Current"
"196","13-01-2020","deposit","734","No","Current"
"54","09-01-2020","deposit","138","No","Savings"
"456","07-01-2020","deposit","753","No","Current"
"174","11-01-2020","deposit","163","Yes","Savings"
"51","20-01-2020","deposit","367","Yes","Savings"
"479","23-01-2020","deposit","320","Yes","Savings"
"437","05-01-2020","deposit","935","No","Savings"
"175","14-01-2020","deposit","300","No","Current"
"200","29-01-2020","deposit","997","Yes","Savings"
"201","02-01-2020","deposit","646","Yes","Savings"
"29","19-01-2020","deposit","217","No","Current"
"132","10-01-2020","deposit","14","No","Savings"
"213","17-01-2020","deposit","421","No","Current"
"79","29-01-2020","deposit","521","No","Savings"
"306","27-01-2020","deposit","402","Yes","Salary"
"8","15-01-2020","deposit","207","Yes","Salary"
"294","12-01-2020","deposit","307","Yes","NRI"
"485","03-01-2020","deposit","524","No","Savings"
"427","22-01-2020","deposit","588","No","NRI"
"222","11-01-2020","deposit","311","Yes","Salary"
"377","18-01-2020","deposit","637","No","Current"
"97","04-01-2020","deposit","681","Yes","Current"
"283","05-01-2020","deposit","947","Yes","Current"
"440","03-01-2020","deposit","45","Yes","Savings"
"449","06-01-2020","deposit","352","No","Current"
"251","09-01-2020","deposit","961","No","Savings"
"435","01-01-2020","deposit","627","No","Savings"
"84","23-01-2020","deposit","968","No","Savings"
"498","19-01-2020","deposit","774","No","Savings"
"38","21-01-2020","deposit","367","No","Current"
"107","13-01-2020","deposit","538","Yes","Savings"
"183","22-01-2020","deposit","101","No","Savings"
"397","06-01-2020","deposit","973","Yes","Current"
"102","26-01-2020","deposit","917","No","Savings"
"182","08-01-2020","deposit","97","No","Savings"
"141","15-01-2020","deposit","934","No","Current"
"494","20-01-2020","deposit","529","No","Savings"
"252","26-01-2020","deposit","982","Yes","Salary"
"297","25-01-2020","deposit","469","Yes","Salary"
"431","11-01-2020","deposit","101","Yes","NRI"
"324","04-01-2020","deposit","538","No","Savings"
"6","11-01-2020","deposit","831","No","NRI"
"262","04-01-2020","deposit","83","Yes","Salary"
"341","26-01-2020","deposit","345","Yes","Current"
"121","01-01-2020","deposit","335","No","Current"
"27","01-01-2020","deposit","809","No","Current"
"248","24-01-2020","deposit","304","No","Savings"
"489","15-01-2020","deposit","556","No","Current"
"445","25-01-2020","deposit","836","Yes","Savings"
"145","02-01-2020","deposit","365","Yes","Savings"
"43","28-01-2020","deposit","318","Yes","Savings"
"82","09-01-2020","deposit","363","No","Savings"
"315","22-01-2020","deposit","384","No","Current"
"444","10-01-2020","deposit","669","Yes","Savings"
"48","01-01-2020","deposit","427","No","Savings"
"425","09-01-2020","deposit","308","Yes","Current"
"422","25-01-2020","deposit","356","Yes","Savings"
"493","15-01-2020","deposit","845","Yes","Current"
"457","23-01-2020","deposit","657","No","Savings"
"179","05-01-2020","deposit","19","No","Salary"
"41","30-01-2020","deposit","790","No","Salary"
"39","22-01-2020","deposit","996","No","NRI"
"235","07-01-2020","deposit","723","No","Savings"
"203","06-01-2020","deposit","970","No","NRI"
"119","17-01-2020","deposit","62","Yes","Salary"
"233","03-01-2020","deposit","187","No","Current"
"451","30-01-2020","deposit","910","Yes","Current"
"392","29-01-2020","deposit","876","No","Current"
"491","08-01-2020","deposit","18","No","Savings"
"393","17-01-2020","deposit","118","No","Current"
"115","29-01-2020","deposit","144","No","Savings"
"150","04-01-2020","deposit","69","Yes","Savings"
"275","28-01-2020","deposit","211","Yes","Savings"
"438","01-01-2020","deposit","261","Yes","Savings"
"153","18-01-2020","deposit","754","No","Current"
"316","23-01-2020","deposit","184","No","Savings"
"349","17-01-2020","deposit","573","Yes","Savings"
"77","08-01-2020","deposit","120","Yes","Current"
"474","02-01-2020","deposit","928","No","Savings"
"224","21-01-2020","deposit","487","No","Current"
"214","14-01-2020","deposit","325","No","Savings"
"254","05-01-2020","deposit","856","No","Salary"
"189","11-01-2020","deposit","304","Yes","Salary"
"429","02-03-2020","deposit","256","Yes","NRI"
"429","02-03-2020","withdrawal","611","Yes","Savings"
"429","14-02-2020","purchase","128","No","NRI"
"429","19-02-2020","deposit","831","No","Salary"
"429","25-02-2020","purchase","312","Yes","Current"
"429","02-03-2020","purchase","164","No","Current"
"429","04-04-2020","withdrawal","855","Yes","Current"
"155","04-04-2020","purchase","501","Yes","Savings"
"155","29-01-2020","purchase","631","Yes","Current"
"155","19-03-2020","deposit","630","No","Savings"
"155","28-03-2020","deposit","494","No","Savings"
"155","16-03-2020","withdrawal","627","No","Savings"
"155","20-02-2020","purchase","751","No","Savings"
"155","15-02-2020","withdrawal","804","No","Current"
"155","29-03-2020","deposit","890","No","Savings"
"155","19-03-2020","deposit","117","Yes","Savings"
"155","31-03-2020","withdrawal","100","No","Current"
"155","30-03-2020","withdrawal","595","Yes","Savings"
"155","24-01-2020","purchase","717","No","Current"
"155","07-03-2020","withdrawal","751","No","Savings"
"155","29-02-2020","purchase","899","No","Salary"
"155","19-01-2020","purchase","360","No","Salary"
"155","29-03-2020","withdrawal","494","Yes","NRI"
"155","05-04-2020","withdrawal","652","Yes","Savings"
"155","04-02-2020","purchase","295","Yes","NRI"
"155","15-02-2020","deposit","804","No","Salary"
"398","31-01-2020","deposit","823","No","Current"
"398","24-03-2020","deposit","635","Yes","Current"
"398","10-01-2020","purchase","951","Yes","Current"
"398","16-01-2020","withdrawal","195","No","Savings"
"398","16-02-2020","withdrawal","232","No","Current"
"398","24-03-2020","deposit","874","No","Savings"
"398","14-01-2020","withdrawal","255","No","Savings"
"398","27-02-2020","purchase","874","Yes","Savings"
"398","21-03-2020","purchase","201","Yes","Savings"
"398","14-03-2020","withdrawal","817","Yes","Current"
"398","10-03-2020","withdrawal","678","Yes","Savings"
"398","14-02-2020","purchase","902","No","Savings"
"398","13-02-2020","purchase","546","No","Current"
"398","22-03-2020","purchase","916","No","Savings"
"398","23-01-2020","deposit","523","No","Savings"
"398","20-02-2020","purchase","150","Yes","Current"
"398","27-01-2020","purchase","570","Yes","Savings"
"398","02-02-2020","purchase","38","Yes","Salary"
"398","09-03-2020","deposit","873","No","Salary"
"255","27-02-2020","deposit","355","No","NRI"
"255","16-02-2020","purchase","479","Yes","Savings"
"255","31-01-2020","purchase","310","No","NRI"
"255","28-03-2020","purchase","782","Yes","Salary"
"255","10-03-2020","deposit","105","Yes","Current"
"185","27-03-2020","withdrawal","642","Yes","Current"
"185","14-02-2020","withdrawal","640","No","Current"
"185","27-02-2020","purchase","447","No","Savings"
"185","08-03-2020","purchase","401","No","Current"
"185","08-04-2020","withdrawal","224","No","Savings"
"185","22-04-2020","deposit","884","No","Savings"
"185","30-03-2020","purchase","738","No","Savings"
"185","12-04-2020","deposit","466","Yes","Savings"
"185","12-04-2020","deposit","825","No","Current"
"185","21-03-2020","deposit","791","Yes","Savings"
"185","15-04-2020","withdrawal","917","No","Savings"
"185","07-04-2020","purchase","366","No","Current"
"185","08-04-2020","purchase","521","No","Savings"
"185","04-02-2020","purchase","193","No","Current"
"185","24-04-2020","deposit","848","Yes","Savings"
"185","01-02-2020","deposit","786","Yes","Salary"
"185","10-02-2020","withdrawal","143","Yes","Salary"
"185","20-04-2020","purchase","499","No","NRI"
"309","09-04-2020","deposit","740","No","Savings"
"309","09-04-2020","deposit","301","Yes","NRI"
"309","09-02-2020","deposit","822","No","Salary"
"309","02-02-2020","purchase","898","Yes","Current"
"309","08-02-2020","purchase","341","Yes","Current"
"309","13-01-2020","purchase","532","Yes","Current"
"309","17-02-2020","purchase","812","No","Savings"
"309","27-01-2020","withdrawal","308","No","Current"
"309","05-04-2020","withdrawal","37","No","Savings"
"309","20-03-2020","deposit","663","No","Savings"
"309","15-02-2020","purchase","69","No","Savings"
"309","04-04-2020","purchase","151","No","Savings"
"309","25-03-2020","purchase","649","Yes","Current"
"309","19-02-2020","deposit","96","No","Savings"
"309","25-01-2020","purchase","518","Yes","Savings"
"309","18-03-2020","deposit","577","No","Current"
"309","22-02-2020","withdrawal","839","No","Savings"
"312","15-03-2020","withdrawal","994","No","Current"
"312","28-03-2020","deposit","67","No","Savings"
"312","25-02-2020","deposit","470","Yes","Salary"
"312","05-02-2020","purchase","942","Yes","Salary"
"312","01-04-2020","withdrawal","602","Yes","NRI"
"312","15-04-2020","withdrawal","651","No","Savings"
"312","26-02-2020","deposit","643","No","NRI"
"312","13-03-2020","purchase","794","Yes","Salary"
"376","31-03-2020","deposit","980","No","Current"
"376","06-03-2020","purchase","595","Yes","Current"
"376","27-02-2020","deposit","25","Yes","Current"
